rr_raceId,rr_year,rr_round,rr_positionNumber,rr_laps,rr_gapMillis,rr_intervalMillis,rr_qualificationPositionNumber,rr_gridPositionNumber,rr_positionsGained,rr_pitStops,rr_fastestLap,pr1_positionNumber,pr1_gapMillis,pr1_intervalMillis,pr1_laps,pr2_positionNumber,pr2_gapMillis,pr2_intervalMillis,pr2_laps,qr_positionNumber,qr_gapMillis,qr_intervalMillis,qr_laps,pr3_positionNumber,pr3_gapMillis,pr3_intervalMillis,pr3_laps,qr_q1Seconds,qr_q2Seconds,qr_q3Seconds,rr_timeSeconds,pr1_timeSeconds,pr2_timeSeconds,pr3_timeSeconds,rr_driverId_adrian-sutil,rr_driverId_alexander-albon,rr_driverId_alexander-rossi,rr_driverId_antonio-giovinazzi,rr_driverId_brendon-hartley,rr_driverId_carlos-sainz-jr,rr_driverId_charles-leclerc,rr_driverId_daniel-ricciardo,rr_driverId_daniil-kvyat,rr_driverId_esteban-gutierrez,rr_driverId_esteban-ocon,rr_driverId_felipe-massa,rr_driverId_felipe-nasr,rr_driverId_fernando-alonso,rr_driverId_franco-colapinto,rr_driverId_george-russell,rr_driverId_guanyu-zhou,rr_driverId_jack-aitken,rr_driverId_jack-doohan,rr_driverId_jean-eric-vergne,rr_driverId_jenson-button,rr_driverId_jolyon-palmer,rr_driverId_jules-bianchi,rr_driverId_kamui-kobayashi,rr_driverId_kevin-magnussen,rr_driverId_kimi-raikkonen,rr_driverId_lance-stroll,rr_driverId_lando-norris,rr_driverId_lewis-hamilton,rr_driverId_liam-lawson,rr_driverId_logan-sargeant,rr_driverId_marcus-ericsson,rr_driverId_max-chilton,rr_driverId_max-verstappen,rr_driverId_mick-schumacher,rr_driverId_nicholas-latifi,rr_driverId_nico-hulkenberg,rr_driverId_nico-rosberg,rr_driverId_nikita-mazepin,rr_driverId_nyck-de-vries,rr_driverId_oliver-bearman,rr_driverId_oscar-piastri,rr_driverId_pascal-wehrlein,rr_driverId_pastor-maldonado,rr_driverId_pierre-gasly,rr_driverId_pietro-fittipaldi,rr_driverId_rio-haryanto,rr_driverId_robert-kubica,rr_driverId_roberto-merhi,rr_driverId_romain-grosjean,rr_driverId_sebastian-vettel,rr_driverId_sergey-sirotkin,rr_driverId_sergio-perez,rr_driverId_stoffel-vandoorne,rr_driverId_valtteri-bottas,rr_driverId_will-stevens,rr_driverId_yuki-tsunoda,rr_constructorId_alfa-romeo,rr_constructorId_alphatauri,rr_constructorId_alpine,rr_constructorId_aston-martin,rr_constructorId_caterham,rr_constructorId_ferrari,rr_constructorId_force-india,rr_constructorId_haas,rr_constructorId_kick-sauber,rr_constructorId_lotus-f1,rr_constructorId_manor,rr_constructorId_marussia,rr_constructorId_mclaren,rr_constructorId_mercedes,rr_constructorId_racing-point,rr_constructorId_rb,rr_constructorId_red-bull,rr_constructorId_renault,rr_constructorId_sauber,rr_constructorId_toro-rosso,rr_constructorId_williams,rr_engineManufacturerId_bwt-mercedes,rr_engineManufacturerId_ferrari,rr_engineManufacturerId_honda,rr_engineManufacturerId_honda-rbpt,rr_engineManufacturerId_mercedes,rr_engineManufacturerId_rbpt,rr_engineManufacturerId_renault,rr_engineManufacturerId_tag-heuer,rr_engineManufacturerId_toro-rosso,circuitId_austin,circuitId_bahrain,circuitId_baku,circuitId_catalunya,circuitId_hockenheimring,circuitId_hungaroring,circuitId_imola,circuitId_interlagos,circuitId_istanbul,circuitId_jeddah,circuitId_las-vegas,circuitId_losail,circuitId_marina-bay,circuitId_melbourne,circuitId_mexico-city,circuitId_miami,circuitId_monaco,circuitId_montreal,circuitId_monza,circuitId_mugello,circuitId_nurburgring,circuitId_paul-ricard,circuitId_portimao,circuitId_sepang,circuitId_shanghai,circuitId_silverstone,circuitId_sochi,circuitId_spa-francorchamps,circuitId_spielberg,circuitId_suzuka,circuitId_yas-marina,circuitId_zandvoort
1007,2019,10,12,52,75617,1336,9,9,-3,1,0.0,9,1920,62,26,9,1265,10,38,9,1252,121,24,10,1071,11,17,86.482,86.403,86.345,4944.069,89.093,87.997,86.976,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1012,2019,15,6,61,11663,5544,6,6,0,1,0.0,5,1208,131,24,5,1170,49,30,6,1194,265,16,5,1066,373,14,99.106,97.865,97.411,7125.33,101.467,99.943,99.258,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1015,2019,18,5,71,21399,15031,5,5,0,2,0.0,4,622,488,21,20,5058,1485,5,5,578,74,18,8,949,4,19,76.175,76.574,75.336,5830.303,77.949,81.665,77.094,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1016,2019,19,5,56,78038,25799,6,6,1,3,0.0,3,259,90,28,6,1202,389,32,6,519,227,14,6,678,60,14,93.984,92.898,92.548,5713.691,94.316,94.434,93.983,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1018,2019,21,6,55,69205,4848,6,5,-1,1,0.0,4,1127,493,23,6,1032,481,30,6,903,343,21,4,361,272,18,96.102,96.718,95.682,5714.92,98.084,97.288,96.927,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1003,2019,6,8,78,55200,626,10,10,2,1,0.0,14,1721,96,45,5,913,93,51,10,1487,236,31,10,1073,30,32,72.007,71.429,71.653,6263.637,73.827,72.031,72.338,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1028,2020,10,10,53,97860,8094,10,15,5,2,0.0,8,1331,24,24,12,1723,32,31,10,1704,8,19,19,2324,4,14,93.919,93.153,93.008,5738.224,96.254,95.242,95.603,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1032,2020,14,7,58,46484,1611,4,4,-3,2,0.0,2,241,241,27,5,1033,183,42,4,2683,1127,26,3,1574,629,5,119.431,112.282,110.448,6185.797,95.318,89.363,110.059,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1033,2020,15,3,57,8005,6751,4,4,1,3,0.0,7,1269,8,34,10,1043,114,17,4,1010,596,18,4,663,297,12,88.732,88.749,88.274,10795.52,90.302,90.014,89.018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1035,2020,17,4,55,19987,1572,5,5,1,1,0.0,4,1169,32,25,4,987,217,33,5,325,74,15,2,501,501,15,96.106,95.654,95.571,5808.632,98.547,97.263,96.752,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
